NomeLoja;LojaCampea;EnderecoWeb;Cidade;Estrelas;Segmento;Distancia;Tempo;Frete
Marrom Glacê;Não;https://www.ifood.com.br/delivery/abreu-e-lima-pe/marrom-glace-timbo/d01a6d5b-057b-49e8-9e80-95fc7afa44d1;abreu-e-lima-pe;Novidade;Lanches;5.0 km;Fechado;R$ 8,99
Jr Bebidas;Não;https://www.ifood.com.br/delivery/abreu-e-lima-pe/jr-bebidas-timbo/7ca25a3a-aa59-4fd2-83e6-c8c68f66b27d;abreu-e-lima-pe;Novidade;Bebidas;5.0 km;Fechado;R$ 12,49
Açaí Pioca Lanche e Janta;Não;https://www.ifood.com.br/delivery/abreu-e-lima-pe/acai-pioca-lanche-e-janta-timbo/16bedc7c-3210-438a-85f0-46ec61e61894;abreu-e-lima-pe;-;Lanches;5.0 km;Fechado;R$ 8,99
Tata Amazonas;Não;https://www.ifood.com.br/delivery/abreu-e-lima-pe/tata-amazonas-timbo/61ca6747-3e19-4b06-84f1-0da13f1fde95;abreu-e-lima-pe;-;Açaí;5.0 km;Fechado;R$ 11,99
Blue Burguer;Não;https://www.ifood.com.br/delivery/igarassu-pe/blue-burguer-centro/36d3a37d-7048-4ee7-ad85-0f4fb95dc99e;igarassu-pe;Novidade;Lanches;5.0 km;Fechado;R$ 10,00
The Family Pizza;Não;https://www.ifood.com.br/delivery/igarassu-pe/the-family-pizza-centro/62ed2a7e-74e3-47ea-b41f-ad853613eeca;igarassu-pe;Novidade;Pizza;5.0 km;Fechado;R$ 9,00
Estação Açaí;Não;https://www.ifood.com.br/delivery/igarassu-pe/estacao-acai-bela-vista/b7e083de-a199-4c26-be4f-9c76c4d595f1;igarassu-pe;Novidade;Açaí;5.0 km;Fechado;R$ 11,99
O Açaí do Amor;Não;https://www.ifood.com.br/delivery/igarassu-pe/o-acai-do-amor-sitio-dos-marcos/8ef1535e-c9a6-45b4-a3ba-58d8d14e88f1;igarassu-pe;4.8;Açaí;5.1 km;Fechado;R$ 11,99
Day Tavares Confeitaria;Não;https://www.ifood.com.br/delivery/abreu-e-lima-pe/day-tavares-confeitaria-planalto/5d575370-61f7-4604-8c2a-3268f86794db;abreu-e-lima-pe;Novidade;Doces & Bolos;5.1 km;Fechado;R$ 22,00
Dona Ione;Não;https://www.ifood.com.br/delivery/igarassu-pe/dona-ione-sitio-dos-marcos/b0e06b8e-aa40-486c-ad1a-c6aa3fd410f0;igarassu-pe;Novidade;Doces & Bolos;5.2 km;Fechado;R$ 11,99
Parmegiana;Não;https://www.ifood.com.br/delivery/abreu-e-lima-pe/parmegiana-timbo/955f3294-3c94-47c0-b526-3d59398ae0b7;abreu-e-lima-pe;Novidade;Brasileira;5.2 km;Fechado;R$ 11,99
Sabor Nordestino;Não;https://www.ifood.com.br/delivery/abreu-e-lima-pe/sabor-nordestino-timbo/a20081d8-4159-45d7-bbe9-5d1847eea730;abreu-e-lima-pe;3.9;Brasileira;5.3 km;Fechado;Grátis
Dallas Burguers;Sim;https://www.ifood.com.br/delivery/abreu-e-lima-pe/dallas-burguers-caetes-iii/c2a4418a-c91e-4f83-97f2-76a3d706187b;abreu-e-lima-pe;4.9;Lanches;5.3 km;Fechado;R$ 12,99
Doceria Pedacinhos do Céu;Não;https://www.ifood.com.br/delivery/abreu-e-lima-pe/doceria-pedacinhos-do-ceu-caetes-i/e625e578-be72-4c2b-87f2-9f8147efac91;abreu-e-lima-pe;Novidade;Doces & Bolos;5.3 km;Fechado;R$ 13,49
Acai da Tay;Não;https://www.ifood.com.br/delivery/igarassu-pe/acai-da-tay-bela-vista/4a6ffb78-1e93-460d-91e5-3d7b2fe5feba;igarassu-pe;Novidade;Açaí;5.5 km;Fechado;R$ 12,99
